GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DevOps_Project,tn.esprit.devops_project.entities,ProductCategory,0,21,0,0,0,2,0,1,0,1
DevOps_Project,tn.esprit.devops_project.entities,Stock,23,13,0,0,2,4,4,4,4,4
DevOps_Project,tn.esprit.devops_project.entities,Supplier,43,13,0,0,4,4,8,4,8,4
DevOps_Project,tn.esprit.devops_project.entities,Operator,40,16,0,0,3,5,7,5,7,5
DevOps_Project,tn.esprit.devops_project.entities,InvoiceDetail,53,3,0,0,7,1,11,1,11,1
DevOps_Project,tn.esprit.devops_project.entities,Invoice,67,19,0,0,5,6,12,6,12,6
DevOps_Project,tn.esprit.devops_project.entities,Product,49,17,0,0,5,4,9,5,9,5
DevOps_Project,tn.esprit.devops_project.entities,SupplierCategory,0,15,0,0,0,2,0,1,0,1
DevOps_Project,tn.esprit.devops_project.controllers,InvoiceController,31,6,0,0,8,1,6,1,6,1
DevOps_Project,tn.esprit.devops_project.controllers,StockController,14,6,0,0,3,1,3,1,3,1
DevOps_Project,tn.esprit.devops_project.controllers,ProductController,30,6,0,0,7,1,6,1,6,1
DevOps_Project,tn.esprit.devops_project.controllers,SupplierController,24,6,0,0,6,1,5,1,5,1
DevOps_Project,tn.esprit.devops_project.controllers,OperatorController,24,6,0,0,6,1,5,1,5,1
DevOps_Project,tn.esprit.devops_project.services,InvoiceServiceImpl,32,91,0,0,2,15,5,8,5,8
DevOps_Project,tn.esprit.devops_project.services,SupplierServiceImpl,0,52,0,0,0,8,0,8,0,8
DevOps_Project,tn.esprit.devops_project.services,ProductServiceImpl,5,62,0,0,0,11,1,9,1,9
DevOps_Project,tn.esprit.devops_project.services,OperatorServiceImpl,0,41,0,0,0,7,0,7,0,7
DevOps_Project,tn.esprit.devops_project.services,StockServiceImpl,0,29,0,0,0,4,0,5,0,5
DevOps_Project,tn.esprit.devops_project,DevOps_ProjectSpringBootApplication,5,3,0,0,2,1,1,1,1,1
